1	We're surrounded! Three enemies!
2	We've been surrounded by three enemies... Strong ones!
3	They took us by surprise! These three are weak, but be careful!
4	Three enemies! We don't have time to waste!
5	Wh-- A surprise attack!? Four enemies!
6	Four enemies! They're formidable!
7	We're surrounded! They've got numbers... Wait for your chance!
8	We don't have time to hang around here fighting!
9	An enemy ambush! Let's see, there's... five of them!?
10	Five strong enemies...! We just have to take them one at a time!
11	Gah, shoot! They're weak, but they have us outnumbered! Hang on!
12	Don't panic! Stay cool, and blaze through them!
13	All right! The first move is ours!
14	Now's our chance to strike! Go!
15	This'll be over in a flash!
16	All right, we got the drop on them! Let's hit them hard!
17	Round them up and thrash them!
18	Don't bother with these guys! Just finish the job!
19	Move! You're in the way!
20	Let's beat them quick and go straight for our target!
21	OK, they're off balance!
22	Nice one! Keep it up!
23	You got them flinching! Go get them!
24	What!? This one's a real threat!
25	Hey that's a rare one! Don't let it escape!
26	One enemy! Let's do it!
27	One enemy, but it's pretty strong!
28	This'll be a cinch!
29	Now's not the time to stick around and fight!
30	There's two enemies! Don't underestimate them!
31	Two enemies! They're pretty strong!
32	Two weaklings! Beat 'em in one fell swoop!
33	We don't have time for these small fries! Clean 'em up!
34	Three enemies! Let's do it!
35	Three powerful foes! Stay on guard!
36	There's three of them, but we're the better team!
37	Tch, they caught us...! Let's thrash them!
38	Four foes! Don't lose here!
39	Four enemies here...! They're no pushovers!
40	Four enemies! Don't worry, though. They're still nothing special!
41	Multiple enemies! Rrgh, this is getting annoying!
42	Five foes! Just hang in there!
43	F-Five of them! And they're all really tough!
44	Outnumbering us isn't gonna help!
45	So, the enemy's on high alert...
46	0
47	0
48	0
49	Wh-What!? We've got several casualties! This is bad!
50	Joker!? H-Hey... Answer me!
51	How could they be this strong...?
52	Joker! Get up! No... JOKER!
53	Skull's out! We've gotta help him!
54	Gah... I got too reckless... I'll back out and focus on support!
55	Panther's been taken out! Someone treat her!
56	Fox is unconscious! This is bad!
57	Queen's injured! She needs some help!
58	Noir's been knocked out! Someone look after her!
59	They took out Crow! Someone cover him!
60	Hey! You have to hang on, OK?
61	Everyone OK!?
62	Joker! Are you OK!?
63	Skull's in trouble! Someone fix him up!
64	I-I could use a hand here...
65	Panther! Hang in there!
66	Gah, not good! Fox is in bad shape!
67	They're attacking Queen! Pay attention!
68	Noir's in a tight spot! Keep an eye on her!
69	Crow's at low health! Be careful!
70	Watch your health! When you get some breathing room, heal!
71	This just got worse... Brace yourselves!
72	Joker's down...! Come on, you gotta hold on!
73	Oh no! Skull's been knocked flat!
74	Owww!
75	Panther's off her feet! Are you all right!?
76	Fox got knocked off balance! You have to recover!
77	Queen's been knocked down! Keep it together!
78	Noir! Are you OK!?
79	Crow's been knocked down! Stand your ground!
80	Hey! Are you OK!?
81	Whoa-ho! THAT'S how true phantom thieves do it!
82	All right, Joker! Very smooth!
83	I guess you ARE good for something, Skull!
84	Not bad, if I say so myself...
85	Yeah! Nice one, Panther!
86	Good one, Fox!
87	All right, Queen! Beautifully dodged!
88	Now you've got it, Noir!
89	All right, Crow! Keep that up!
90	Nice one! They can't land a hit!
91	An enemy's run off! You've got four left!
92	The enemy's running! Let's keep up the pressure!
93	The enemy ran! There's still two!
94	The enemy's escaped! Only one left!
95	There it goes! We must've really scared 'em!
96	Joker's attack is down!
97	Skull, your attack power's been lowered!
98	My power...
99	Panther's attack power is low right now!
100	Fox, your attack power's gone down!
101	Queen, your attack has been lowered!
102	Noir, your attack power's down!
103	Crow's offense is down!
104	Your attack's been lowered!
105	Joker, your defense got lowered!
106	Skull, your defense has dropped!
107	My defense is low right now...
108	Panther, your defense has been lowered!
109	Fox, your defense is down!
110	Queen, your defenses are down. Be careful!
111	Noir, your defense has dropped!
112	Crow, your defense is low!
113	Your defense is down!
114	Joker, your speed's been lowered!
115	Skull, your agility's down!
116	My incredible speed, lowered?
117	Panther, your agility is lowered!
118	Fox, your speed's been decreased!
119	Queen, your speed's lowered!
120	Noir, your agility's down!
121	Crow, your agility is currently down!
122	Your speed's been lowered!
123	Five left! Let's calm down and deal with them!
124	Five foes! We're outnumbered!
125	Four left! Hang in there!
126	Four enemies! Hold your ground!
127	Three remaining! We can do it!
128	There are three enemies! Let's get them!
129	Two enemies remaining! Don't let your guard down!
130	Two foes left! Let's do this!
131	One enemy remaining! This is the last one!
132	Only one more! Let's go!
133	Everyone, watch your health!
134	Joker, you're hurt! Don't get reckless now!
135	Skull, are you OK? Watch your health!
136	Dammit... I don't have much health left...
137	Panther's in trouble! Someone heal her!
138	Fox, your health is low!  Watch out!
139	Queen, you're in danger! Someone take care of her!
140	Noir, are you OK? We need a heal, stat!
141	Crow's health is dangerously low! We need a heal!
142	Hey, you're in danger! Pull back and heal!
143	Joker's on fire! He can't take much more of this!
144	Skull's burning! We gotta put out that fire!
145	Hot! Hot hot HOT!
146	Panther's burning up! Someone put that out!
147	Fox is on fire! That's going to keep hurting him!
148	Queen's on fire! She's taking damage!
149	A fire!? Noir, are you OK!?
150	Crow's burning! The pain's gonna keep building if we don't fix it!
151	You're on fire!
152	Joker's frozen! He can't move like this!
153	Shoot! Skull's been frozen!
154	I'm frozen stiff...!
155	Panther's frozen! She can't move!
156	Fox is frozen! He can't move like that!
157	Queen's frozen!? She's stuck!
158	Noir's frozen! This isn't good!
159	Crow's frozen and can't move!
160	You're frozen! You can't move while you're stuck like that!
161	Joker's electrified!
162	Skull, you're electrified! Moving's gonna be a problem!
163	I-I got shocked... Can't move...!
164	Panther's shocked! She can't move!
165	Fox got shocked! He can't move!
166	You can't move while you're electrified! Hang in there, Queen!
167	Noir's electrified! She can't move like this!
168	Crow's been shocked! He can't move that easily now!
169	Gah, you got shocked! You can't move as well now!
170	Joker's dizzy! His accuracy's going to be worse now!
171	Skull's dizzy! He's going to miss a lot more now!
172	I'm dizzy... Can't see straight...
173	Panther's dazed! Her attacks won't hit as often!
174	Fox is dizzy! He'll have trouble landing his attacks!
175	Queen is dizzy! It'll be a lot harder to land attacks now!
176	Noir, you're dizzy! Your accuracy's down, and you're more vulnerable!
177	Crow's dizzy! Accuracy's down, and if he gets hit now, it'll hurt!
178	You're dizzy! It'll be a lot harder to land a hit!
179	Joker's confused!? Hey, calm down!
180	Skull's confused! There's no telling what he might do!
181	Whaa...? What's going on...?
182	Panther's confused! Just calm down and stay still!
183	Fox is confused! He might try anything!
184	Queen's completely confused! Don't move, OK?
185	Noir's confused! She's going wild!
186	Crow's confused! He's not listening to anyone!
187	Hey, calm down! You're confused!
188	Joker's terrified!
189	Skull's shivering! He's so scared, he might make a break for it!
190	Waaaaaah! Get away from meeeee!
191	Panther's scared! It's OK--don't run away!
192	Fox is scared! He might bolt!
193	Queen is really scared! She might run if it comes down to it!
194	Noir's shaking! If she's that scared, she might try to run!
195	Crow's scared... I hope he doesn't run!
196	Oh no! You're scared out of your mind!
197	Joker can't call his Persona! He's forgotten everything!
198	Skull's got amnesia!?
199	...Huh? Uh... What was I doing again?
200	Panther's forgotten how to summon her Persona!
201	Fox can't use his Persona! He's forgotten how!
202	Queen's forgotten how to call her Persona!
203	Noir's lost her memory! She can't use her Persona!
204	Crow's forgotten how to summon his Persona!
205	Wait... Did you forget how to summon your Persona!?
206	Joker's hungry!? He's losing his strength!
207	Skull's powered down. He's way too hungry! Is there a beef bowl anywhere!?
208	I'm out of energy... I need a snack...
